filing_id,investment_of_money,common_enterprise,expectation_of_profits,efforts_of_others,howey_discussed,key_quotes
347,alleged,alleged,alleged,alleged,1,"[""Howey test” is used to analyze arrangements or instruments not listed in those statutory sections based on their “economic realities."",""Howey have explained that Howey’s “efforts of others” requirement is satisfied when “the efforts made by those other than the investor are the undeniably significant ones, those essential managerial efforts which affect the failure or success of the enterprise."",""Howey’s efforts of others prong."",""Howey’s “efforts of others” requirement because these activities are administrative or ministerial in nature and do not involve managerial or entrepreneurial efforts."",""Howey’s third prong."",""investment contract” test set forth in SEC v."",""investment contract is analyzed using the Howey test."",""investment contract because the parties involved in the process of minting, issuing and redeeming Staking Receipt Tokens do not provide entrepreneurial or managerial efforts to Staked Receipt Token holders and any economic benefits realized by Staking Receipt Tokens holders are not derived from any such efforts.""]"
348,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""Howey statements, the conclusions here are vague generalizations that cannot readily be mapped onto real-world services.""]"
349,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
350,not_discussed,not_discussed,not_discussed,not_discussed,1,[]
351,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""Howey test” has led some innovators to prophylactically treat all crypto assets as such."",""investment contract to trade on trading venues that are not registered with the Commission.""]"
352,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
353,alleged,not_discussed,not_discussed,alleged,1,"[""Howey precedent on which they are based."",""Howey interpretations declaring that particular crypto products or services are not securities, is premised on the idea that protocol staking is an “administrative or ministerial activity” devoid of entrepreneurial effort."",""Howey precedent, courts in the recent SEC enforcement actions ruled that staking services were properly alleged to be investment contracts because, as alleged, they involved entrepreneurial efforts."",""Howey is a facts-and-circumstances analysis, and it may well be that certain bare-bones staking programs do not rise to the level of investment contracts."",""Howey statements, the conclusions here are vague generalizations that cannot readily be mapped onto real-world services."",""investment contract is the Howey test."",""investment contracts under Howey."",""investment contracts have been found to exist in a variety of circumstances where a promoter takes an established product or technology— which itself may not be a security or involve entrepreneurial effort— and “buil[ds] an enterprise on top of it.""]"
354,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
355,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
356,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
357,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
358,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
359,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
360,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
361,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
362,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
363,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
364,alleged,not_discussed,not_discussed,not_discussed,1,"[""investment contract \n(aka \nsecurity) \nwith Ripple.""]"
366,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
367,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
368,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
369,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
370,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
372,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
373,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
374,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
375,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
376,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
377,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
378,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
379,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
380,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
381,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
382,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
383,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
384,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
385,alleged,alleged,alleged,alleged,1,"[""Howey test” is used to analyze arrangements or instruments not listed in those statutory sections based on their “economic realities."",""Howey have explained that Howey’s “efforts of others” requirement is satisfied when “the efforts made by those other than the investor are the undeniably significant ones, those essential managerial efforts which affect the failure or success of the enterprise."",""Howey’s efforts of others prong."",""Howey’s “efforts of others” requirement because these activities are administrative or ministerial in nature and do not involve managerial or entrepreneurial efforts."",""Howey’s third prong."",""investment contract” test set forth in SEC v."",""investment of money in a common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others.""]"
386,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
387,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
388,alleged,alleged,alleged,alleged,1,"[""Howey test” is used to analyze arrangements or instruments not listed in those statutory sections based on their “economic realities."",""Howey have explained that Howey’s “efforts of others” requirement is satisfied when “the efforts made by those other than the investor are the undeniably significant ones, those essential managerial efforts which affect the failure or success of the enterprise."",""Howey’s efforts of others prong."",""Howey’s “efforts of others” requirement because these activities are administrative or ministerial in nature and do not involve managerial or entrepreneurial efforts."",""Howey’s third prong."",""investment contract” test set forth in SEC v."",""investment of money in a common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others.""]"
389,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
390,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
391,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
393,not_discussed,alleged,alleged,not_satisfied,1,"[""Howey, but other circuit courts solely require that investors share risk with the promoter to satisfy this element of Howey."",""Howey Met Gary (Plastic), June 14, 2018, available at https://www."",""Howey test will no longer be met, the tokens will cease being securities and the issuer can terminate its SEC reporting obligations."",""investment contract, which is a type of security."",""investment contract, a type of security under the federal securities laws."",""investment contract” could be helpful in crypto markets and more generally."",""investment contract separates from the investment contract."",""investment contract travels with the crypto asset until the associated network or application is sufficiently decentralized[43] or no longer controlled by a central party,[44] or the issuer has otherwise fulfilled its promises to purchasers of the investment contract.""]"
394,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
395,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
396,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
397,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
398,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
399,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""investment contract or certificate of interest or participation in any profit-sharing agreement ."",""investment contract or interest is the subject of a registration statement with the Commission pursuant to the provisions of the Securities Act of 1933 ."",""investment contracts that are not the subject of a registration statement filed under the Securities Act of 1933 are not protected under SIPA.""]"
400,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
401,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
402,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
403,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
404,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
405,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
406,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
407,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
408,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
409,alleged,alleged,alleged,alleged,1,"[""investment contracts and thus constituted \nsecurities within the meaning of Section 2(a)(1) of the Securities Act and Section 3(a)(10) of the \nExchange Act."",""investment contracts, PGI Global’s membership packages involved: (1) the \ninvestment of money; (2) in a common enterprise; (3) with a reasonable expectation of profits to be \nderived from the efforts of others."",""investment of money; (2) in a common enterprise; (3) with a reasonable expectation of profits to be \nderived from the efforts of others."",""common enterprise; (3) with a reasonable expectation of profits to be \nderived from the efforts of others."",""expectation of profits to be \nderived from the efforts of others."",""efforts of third parties trading on their behalf, \nincluding RV Palafox’s purported trading team.""]"
410,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
411,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
412,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
413,alleged,alleged,alleged,alleged,1,"[""investment contracts, and thus as securities."",""investment contracts with Coinbase’s participation or material aid."",""investment contract under federal securities law."",""investment of money, there is a low risk that [XRP] will \nbe considered an investment contract."",""common enterprise that “pools” \ninvestments from more than one investor."",""common enterprise to \ndevelop Power’s business."",""common enterprise with other wLUNA investors and \nLUNA investors."",""expectation of profit from the possibility that \nAave might distribute transaction fees for loans executed on its platform to AAVE holders, \nsimilar to a dividend, or repurchase AAVE tokens on the open market and distribute them to \nholders of AAVE.""]"
414,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""investment contract (such a crypto asset, a “subject crypto asset”)."",""investment contract or otherwise, similar disclosures, if material, may be relevant to the section of the registration or offering statement discussing the issuer’s business.""]"
415,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
416,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
417,alleged,alleged,alleged,alleged,1,"[""Howey Analysis\n\nIn the event a Covered Stablecoin is not viewed as a note or other debt instrument, and considering that it is not any of the other financial instruments that are specifically enumerated in the definition of “security,” we conduct further analysis of the offer and sale of Covered Stablecoins under the “investment contract” test set forth in Howey."",""Howey test” is used to analyze arrangements or instruments not listed in Section 2(a)(1) of the Securities Act and Section 3(a)(10) of the Exchange Act based on their “economic realities."",""Howey, the Supreme Court has contrasted the motivations of investors – those who are attracted to a scheme by the “prospects of a return on their investment”[24] – with the motivations of consumers – those who are “motivated by a desire to use or consume the item purchased."",""Howey analyses where facts warrant it."",""investment contract” test set forth in Howey."",""investment contracts); Aldrich v."",""investment of money in a common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""common enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others.""]"
418,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
419,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
420,alleged,alleged,alleged,alleged,1,"[""investment contract that required \ninvestments of money in a common enterprise with an expectation of profits from the efforts of \nothers, specifically, Terraform’s management."",""common enterprise with an expectation of profits from the efforts of \nothers, specifically, Terraform’s management."",""expectation of profits from the efforts of \nothers, specifically, Terraform’s management."",""efforts of \nothers, specifically, Terraform’s management.""]"
421,alleged,not_discussed,alleged,alleged,1,"[""Howey test” is used to analyze arrangements or instruments not listed in those statutory sections based on their “economic realities."",""Howey have explained that Howey’s “efforts of others” requirement is satisfied when “the efforts made by those other than the investor are the undeniably significant ones, those essential managerial efforts which affect the failure or success of the enterprise."",""Howey’s “efforts of others” requirement because miners primarily are relying on the computational resources that they provide in conjunction with other members to the mining pool to earn profits."",""investment contract” test set forth in SEC v."",""investment of money in an enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""expectation of profit derived from the entrepreneurial or managerial efforts of others."",""expectation of profits that the miners have is not derived from the efforts of a third party, such as a pool operator.""]"
422,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
423,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
424,not_discussed,not_discussed,satisfied,alleged,1,"[""Howey test analyzes whether certain arrangements or instruments are investment contracts based on their “economic realities."",""Howey test considers whether there is an investment in an enterprise premised on a reasonable expectation of profits to be derived from the entrepreneurial or managerial efforts of others."",""Howey have explained that Howey’s “efforts of others” requirement is satisfied when “the efforts made by those other than the investor are the undeniably significant ones, those essential managerial efforts which affect the failure or success of the enterprise."",""investment contracts” are securities."",""investment contract under the “investment contract” test set forth in SEC v."",""investment contracts based on their “economic realities."",""investment contract, which is a security."",""expectation of profits to be derived from the entrepreneurial or managerial efforts of others.""]"
425,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""Howey to the crypto industry.""]"
426,not_discussed,alleged,alleged,alleged,1,"[""Howey test nearly 80 years ago to determine whether something is an investment contract."",""Howey is the reasonable expectation of profits based on the efforts of others."",""Howey with disclaimers or other window dressing designed to downplay the significance of managerial efforts."",""Howey demands a facts and circumstances analysis of the “economic realities” of an offer or sale."",""Howey’s requirement of a “common enterprise."",""Howey requires simply cannot be reconciled with the staff’s conclusion that offers and sales of a vaguely defined category, consisting of hundreds of unique crypto assets, are generally not securities."",""Howey); Rashi Maheshwari, Why is PEPE Coin Rising? (Nov."",""investment contract,” a term that “embodies a flexible rather than a static principle,” and “is capable of adaptation to meet [ ] countless and variable schemes.""]"
427,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""Howey test—looked at the economic realities of the offerings, and, even though the offerings at issue involved supposedly novel technologies, rejected defense arguments that they were not securities” and citing multiple cases in footnotes 26 and 66, including SEC v.""]"
428,not_discussed,not_discussed,not_discussed,not_satisfied,1,"[""Howey’s investment contract test can be difficult."",""Howey test, as the Commission has applied it, is a complex analysis that can be difficult to apply consistently."",""investment contract, which is a security, even though the crypto asset may not itself be a security;\n Third, tokenized securities; and\n Finally, all other crypto assets, which are not securities, in my view, and are currently the biggest category."",""investment contract, and tokenized securities."",""investment contract test can be difficult."",""sufficiently decentralized or functional, registration of the tokens would not be required.""]"
429,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
430,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
431,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
432,not_discussed,not_discussed,not_discussed,not_discussed,1,"[""Howey test in this context.""]"
433,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
434,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
435,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
436,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
437,alleged,alleged,alleged,alleged,1,"[""investment contracts involving electronic devices and a rewards program that generate returns in the \nform of three Nova Labs crypto assets; and (2) Nova Labs’ materially false and misleading \nstatements in connection with its offer and sale of those investment contracts and in connection \nwith Nova Labs’ offer and sale of shares of its stock."",""investment contracts and, thus, securities."",""investment contracts; offered and sold securities to investors located \nin this District in unregistered transactions; promoted its offer and sale of Nova Labs’ stock in this \nDistrict; and offered and sold Nova Labs’ stock to investors located in this District."",""Investment Contract” Analysis of Digital Assets, that advised those “engaging in the offer, sale, or \ndistribution of a digital asset” to consider “whether the digital asset is a security” that would trigger \nthe application of the “federal securities laws."",""investment contract,” and a non-exhaustive list of \ncharacteristics that, if present in a given digital asset, would suggest that the asset is a “security."",""investment contracts in the form of electronic devices—i."",""investment contracts in the form of Hotspot devices \nthat mine crypto assets occur through an ecosystem called the “Helium Network,” which Nova Labs \nlaunched in July 2019."",""INVESTMENT \nCONTRACTS TO A NEW DEVICE AND TWO NEW CRYPTO ASSETS.""]"
438,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
439,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
440,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
441,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
442,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
443,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
444,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
445,alleged,satisfied,alleged,alleged,1,"[""investment contract” includes transactions involving an investment of money \nin a common enterprise with the expectation of profits to come from the efforts of others."",""investment contracts, and are therefore securities subject \nto regulation under the Securities Act."",""investment of money \nin a common enterprise with the expectation of profits to come from the efforts of others."",""common enterprise exists, as evidenced by \nthe pooling of funds and the Token’s success being tied to the collective efforts of Welch."",""common enterprise with the expectation of profits to come from the efforts of others."",""common enterprise because they concern a sharing \nor pooling of the funds of investors, and the fortunes of each investor in the pool of investors are \ntied to one another and to the success of the investment pool."",""Expectation of Profits from the Efforts of Others ."",""expectation of profits based on her \nefforts.""]"
446,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
447,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
448,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
449,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
450,alleged,alleged,alleged,alleged,1,"[""Howey are illustrative."",""Howey Met Gary (Plastic), Remarks at the Yahoo Finance All Markets \nSummit:  Crypto (June 14, 2018), https://tinyurl."",""Howey \nrequired an ongoing “contractual arrangement,” not just an asset sale."",""Howey was whether it mattered that the agreement to purchase the orange-grove lot \nand the reciprocal agreement to manage it for the buyer’s benefit were spread over two contracts rather \nthan one."",""Howey requirements of an investment contract."",""Howey would not be considered \nsecurities if they were sold apart from the cultivator’s promise to share any profits derived by their \ncultivation,” the “crypto-assets” at issue “when considered in isolation, might not then have been, by \nthemselves, investment contracts”); SEC v."",""Howey recognized, when Congress included “investment contract” in the definition of a security under \nthe Securities and Exchange Acts, it “was using a term the meaning of which had been crystallized \nby ."",""investment contracts”—and so qualify as securities transactions under the Securities Act of  1933 \nand the Exchange Act of  1934—because some digital asset buyers expect those assets to increase in \nvalue based on the efforts of  their creators.""]"
451,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
452,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
453,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
454,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
455,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
456,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
457,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
458,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
459,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
460,alleged,alleged,alleged,alleged,1,"[""Investment contracts are transactions, contracts, or schemes through which a\nperson invests money in a common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""investment contracts and thus securities."",""common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""common enterprise with each other\nand with Pham, Robo Global, and other Robo Inu project leaders, who at all relevant times\nretained significant Robo Inu holdings."",""expectation of\nprofiting from Pham’s efforts to develop the Robo Inu ecosystem.""]"
461,alleged,alleged,alleged,alleged,1,"[""investment\ncontract subject to regulation under U."",""Investment contracts are transactions, contracts, or schemes through which a\nperson invests money in a common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""investment contracts and thus securities."",""common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""efforts of others, including the NexFundAI project team.""]"
462,alleged,alleged,alleged,alleged,1,"[""investment \ncontract subject to regulation under U."",""Investment contracts are transactions, contracts, or schemes through which a \nperson invests money in a common enterprise and reasonably expects profits or returns derived \nfrom the entrepreneurial or managerial efforts of others."",""investment contracts and thus securities."",""investment \ncontract, on numerous crypto asset trading platforms."",""common enterprise and reasonably expects profits or returns derived \nfrom the entrepreneurial or managerial efforts of others."",""common enterprise with each other \nand with the Saitama project leaders, who at all relevant times retained significant Saitama \nholdings."",""common enterprise with each other \nand with Pham, Robo Global, and other Robo Inu project leaders, who at all relevant times \nretained significant Robo Inu holdings."",""expectation of profiting from the efforts of Pham and other leaders of the above-described \nproject to develop the Saitama ecosystem and list Saitama on crypto asset trading platforms.""]"
463,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
464,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
465,alleged,alleged,alleged,alleged,1,"[""investment\ncontract subject to regulation under U."",""Investment contracts are transactions, contracts, or schemes through which a\nperson invests money in a common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""investment contracts and thus securities."",""investment contract, including on numerous crypto-asset trading platforms."",""common enterprise and reasonably expects profits or returns derived\nfrom the entrepreneurial or managerial efforts of others."",""common enterprise with each other\nand with the Saitama project leaders, who at all relevant times retained significant Saitama\nholdings."",""efforts of others, including the NexFundAI project team.""]"
466,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
467,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
468,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
469,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
470,alleged,alleged,alleged,alleged,1,"[""investment contracts involving crypto \nassets called TrueUSD (“TUSD”) and profit-making opportunities with respect to TUSD on \n“TrueFi,” a so-called lending protocol from which Defendants stated investors could earn \ninterest by loaning TUSD."",""investment contracts by falsely and publicly claiming that TUSD was backed one-\nfor-one by U."",""investment contract exists when there is the investment of money in a common enterprise with a \nreasonable expectation of profits to be derived from the efforts of others."",""investment contracts, including interests in orange groves, animal breeding programs, \nrailroads, mobile phones, and enterprises that exist only on the internet, including crypto assets."",""investment \ncontracts to investors by promoting TUSD and investors’ potential to profit from their purchase \nof TUSD by lending that TUSD on TrueFi to earn interest."",""investment of money in a common enterprise with a \nreasonable expectation of profits to be derived from the efforts of others."",""common enterprise with a \nreasonable expectation of profits to be derived from the efforts of others."",""common enterprise by \nCase 3:24-cv-06684   Document 1   Filed 09/24/24   Page 7 of 16\n\n \nCASE NO.""]"
471,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
472,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
473,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
474,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
475,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
